site,location,latitude,longitude,m_natalensis,m_erythroleucus
1,Panguma,8.283,-11.1,1,0
2,Konia,8.117,-11.02,338,9
3,Yengema,7.817,-12.017,13,13
4,Segbwema,7.98,-12.02,31,0
5,Bumban,9.117,-11.9,11,12
6,Falaba,9.85,-11.32,0,0
7,Fadugu,9.4,-11.77,1,0
8,Belebu,7.78,-12,1,1
9,Petema,7.83,-12,1,1
10,Meema,8.117,-11,3,0
11,Kamagbengbe,9.18,-11.93,0,0
12,Kathumpe,9.5,-12.23,18,30
13,Mamarea,9.1,-12.367,0,9
14,Mamaka,9.1,-12.317,0,15
15,Mabenji,9.1,-12.383,0,11
16,Makoima,9.083,-12.417,0,5
17,Samaia,9.533,-12.4,0,10
18,Baneke,9.417,-12.53,0,20
19,Waridalah,9.4,-12.53,3,2
20,Kafogo,9.4,-11.73,1,2
21,Kamabunyele,9.517,-12.317,0,2
22,Kpandebu,8.217,-11.067,37,0
23,Tongola,8.2167,-11.05,45,0
24,Masanga,8.783,-11.833,3,0
25,Lalehun,8.2,-11.083,125,0
26,Batkanu,9.067,-12.4167,2,33
27,Mayanaki,9.033,-12.4167,0,6
28,Mayedahie,9.0167,-12.4167,0,20
29,Gbonga,9.0167,-12.5,0,31
30,Magbanaba,9.0167,-12.5,0,6
31,Magbogbo,9,-12.5,0,4
32,Palima,8.2167,-11.05,45,1
33,Niahun,8.0167,-11.033,384,1
34,Geliama,8.2167,-11.033,66,1
35,Giehun,8.2167,-11.033,89,2
36,Geima,8.2,-11.05,0,0
37,Landoma,8.233,-11.05,46,0
38,Lowoma,8.2167,-11.05,31,0
